Generating full dataset...
Process 0: Noise detected in record 13, parameter 43
Process 0: Noise detected in record 592, parameter 3
Process 1: Noise detected in record 544, parameter 13
Process 1: Noise detected in record 550, parameter 30
Process 0: Noise detected in record 617, parameter 22
Process 1: Noise detected in record 600, parameter 29
Process 0: Noise detected in record 729, parameter 30
Process 1: Noise detected in record 666, parameter 16
Process 1: Noise detected in record 716, parameter 41
Process 0: Noise detected in record 792, parameter 33
Process 1: Noise detected in record 756, parameter 6
Process 1: Noise detected in record 772, parameter 46
Process 0: Noise detected in record 880, parameter 21
Process 1: Noise detected in record 804, parameter 38
Process 1: Noise detected in record 805, parameter 40
Process 0: Noise detected in record 923, parameter 7
Process 0: Noise detected in record 928, parameter 20
Process 0: Noise detected in record 952, parameter 8
Process 1: Noise detected in record 862, parameter 11
Process 1: Noise detected in record 891, parameter 25
Process 0: Noise detected in record 993, parameter 48
Process 0: Cleaning completed
Process 1: Cleaning completed
Total records processed across all processes: 456000
Process 1: Noise detected in record 23, parameter 17
Process 1: Noise detected in record 25, parameter 8
Process 1: Noise detected in record 30, parameter 23
Process 1: Noise detected in record 40, parameter 36
Process 1: Noise detected in record 72, parameter 22
Process 0: Noise detected in record 77, parameter 0
Process 0: Noise detected in record 120, parameter 8
Process 1: Noise detected in record 195, parameter 49
Process 1: Noise detected in record 238, parameter 12
Process 1: Noise detected in record 290, parameter 13
Process 0: Noise detected in record 262, parameter 28
Process 0: Noise detected in record 330, parameter 15
Process 1: Noise detected in record 320, parameter 1
Process 1: Noise detected in record 322, parameter 31
Process 0: Noise detected in record 440, parameter 27
Process 1: Noise detected in record 355, parameter 44
Process 1: Noise detected in record 363, parameter 33
Process 1: Noise detected in record 400, parameter 26
Process 1: Noise detected in record 487, parameter 31
Process 1: Noise detected in record 502, parameter 32
Process 0: Noise detected in record 554, parameter 26
Process 1: Noise detected in record 507, parameter 0
Process 0: Noise detected in record 672, parameter 39
Process 0: Noise detected in record 702, parameter 23
Process 1: Noise detected in record 621, parameter 13
Process 0: Noise detected in record 711, parameter 34
Process 1: Noise detected in record 669, parameter 44
Process 0: Noise detected in record 734, parameter 37
Process 1: Noise detected in record 715, parameter 16
Process 1: Noise detected in record 731, parameter 0
Process 1: Noise detected in record 758, parameter 26
Process 0: Noise detected in record 814, parameter 46
Process 1: Noise detected in record 776, parameter 43
Process 0: Noise detected in record 827, parameter 3
Process 1: Noise detected in record 802, parameter 3
Process 0: Noise detected in record 842, parameter 4
Process 1: Noise detected in record 818, parameter 5
Process 1: Noise detected in record 818, parameter 26
Process 1: Noise detected in record 863, parameter 17
Process 1: Noise detected in record 892, parameter 11
Process 0: Noise detected in record 932, parameter 15
Process 0: Noise detected in record 933, parameter 32
Process 0: Noise detected in record 939, parameter 13
Process 1: Noise detected in record 959, parameter 31
Process 1: Noise detected in record 973, parameter 31
Process 0: Noise detected in record 961, parameter 24
Process 0: Noise detected in record 963, parameter 16
Process 0: Noise detected in record 974, parameter 15
Process 1: Cleaning completed
Process 0: Cleaning completed
Total records processed across all processes: 458000
Process 0: Noise detected in record 15, parameter 31
Process 0: Noise detected in record 166, parameter 40
Process 0: Noise detected in record 170, parameter 24
Process 0: Noise detected in record 180, parameter 28
Process 1: Noise detected in record 79, parameter 10
Process 1: Noise detected in record 95, parameter 41
Process 1: Noise detected in record 165, parameter 22
Process 0: Noise detected in record 227, parameter 41
Process 0: Noise detected in record 241, parameter 20
Process 0: Noise detected in record 253, parameter 31
Process 0: Noise detected in record 292, parameter 37
Process 1: Noise detected in record 236, parameter 12
Process 1: Noise detected in record 264, parameter 30
Process 1: Noise detected in record 266, parameter 30
Process 0: Noise detected in record 390, parameter 25
Process 0: Noise detected in record 403, parameter 15
Process 0: Noise detected in record 423, parameter 36
Process 1: Noise detected in record 360, parameter 49
Process 1: Noise detected in record 393, parameter 35
Process 0: Noise detected in record 444, parameter 41
Process 0: Noise detected in record 448, parameter 38
Process 1: Noise detected in record 430, parameter 12
Process 1: Noise detected in record 446, parameter 30
Process 0: Noise detected in record 491, parameter 41
Process 1: Noise detected in record 464, parameter 9
Process 1: Noise detected in record 492, parameter 0
Process 0: Noise detected in record 508, parameter 4
Process 1: Noise detected in record 535, parameter 9
Process 1: Noise detected in record 545, parameter 24
Process 0: Noise detected in record 537, parameter 29
Process 0: Noise detected in record 548, parameter 33
Process 0: Noise detected in record 556, parameter 24
Process 1: Noise detected in record 594, parameter 43
Process 1: Noise detected in record 595, parameter 0
Process 1: Noise detected in record 631, parameter 35
Process 0: Noise detected in record 584, parameter 37
Process 0: Noise detected in record 601, parameter 9
Process 1: Noise detected in record 679, parameter 12
Process 0: Noise detected in record 636, parameter 0
Process 0: Noise detected in record 641, parameter 39
Process 1: Noise detected in record 734, parameter 7
Process 1: Noise detected in record 736, parameter 19
Process 0: Noise detected in record 700, parameter 27
Process 0: Noise detected in record 702, parameter 40
Process 1: Noise detected in record 772, parameter 26
Process 1: Noise detected in record 786, parameter 31
Process 1: Noise detected in record 836, parameter 7
Process 1: Noise detected in record 853, parameter 8
Process 0: Noise detected in record 801, parameter 8
Process 0: Noise detected in record 827, parameter 40
Process 0: Noise detected in record 834, parameter 1
Process 1: Noise detected in record 934, parameter 4
Process 1: Noise detected in record 975, parameter 27
Process 1: Noise detected in record 980, parameter 47
Process 0: Noise detected in record 915, parameter 2
Process 0: Noise detected in record 927, parameter 0
Process 1: Cleaning completed
Process 0: Noise detected in record 970, parameter 49
Process 0: Cleaning completed
Total records processed across all processes: 460000
Process 1: Noise detected in record 2, parameter 26
Process 1: Noise detected in record 98, parameter 25
Process 0: Noise detected in record 122, parameter 10
Process 0: Noise detected in record 128, parameter 21
Process 0: Noise detected in record 166, parameter 42
Process 0: Noise detected in record 246, parameter 34
Process 0: Noise detected in record 303, parameter 25
Process 1: Noise detected in record 185, parameter 28
Process 0: Noise detected in record 356, parameter 5
Process 0: Noise detected in record 400, parameter 20
Process 1: Noise detected in record 287, parameter 20
Process 1: Noise detected in record 295, parameter 39
Process 0: Noise detected in record 468, parameter 23
Process 0: Noise detected in record 532, parameter 18
Process 1: Noise detected in record 436, parameter 14
Process 1: Noise detected in record 439, parameter 11
Process 1: Noise detected in record 466, parameter 47
Process 1: Noise detected in record 468, parameter 33
Process 0: Noise detected in record 624, parameter 38
Process 0: Noise detected in record 635, parameter 41
Process 0: Noise detected in record 639, parameter 32
Process 1: Noise detected in record 518, parameter 1
Process 1: Noise detected in record 546, parameter 2
Process 0: Noise detected in record 763, parameter 13
Process 0: Noise detected in record 817, parameter 46
Process 1: Noise detected in record 624, parameter 6
Process 1: Noise detected in record 634, parameter 41
Process 1: Noise detected in record 657, parameter 4
Process 0: Noise detected in record 858, parameter 40
Process 0: Noise detected in record 876, parameter 14
Process 0: Noise detected in record 907, parameter 33
Process 0: Noise detected in record 908, parameter 18
Process 1: Noise detected in record 679, parameter 16
Process 1: Noise detected in record 703, parameter 14
Process 0: Cleaning completed
Process 1: Noise detected in record 727, parameter 6
Process 1: Noise detected in record 738, parameter 24
Process 1: Noise detected in record 790, parameter 11
Process 1: Noise detected in record 824, parameter 37
Process 1: Noise detected in record 884, parameter 29
Process 1: Noise detected in record 904, parameter 37
Process 1: Noise detected in record 916, parameter 46
Process 1: Noise detected in record 977, parameter 21
Process 1: Noise detected in record 991, parameter 44
Process 1: Cleaning completed
Total records processed across all processes: 462000
Process 1: Noise detected in record 67, parameter 8
Process 1: Noise detected in record 118, parameter 45
Process 1: Noise detected in record 124, parameter 22
Process 0: Noise detected in record 30, parameter 9
Process 0: Noise detected in record 60, parameter 40
Process 0: Noise detected in record 64, parameter 9
Process 1: Noise detected in record 217, parameter 22
Process 1: Noise detected in record 219, parameter 34
Process 1: Noise detected in record 232, parameter 30
Process 1: Noise detected in record 250, parameter 34
Process 0: Noise detected in record 170, parameter 32
Process 0: Noise detected in record 193, parameter 4
Process 1: Noise detected in record 344, parameter 13
Process 0: Noise detected in record 245, parameter 43
Process 0: Noise detected in record 249, parameter 30
Process 0: Noise detected in record 255, parameter 12
Process 0: Noise detected in record 268, parameter 34
Process 1: Noise detected in record 442, parameter 35
Process 1: Noise detected in record 498, parameter 36
Process 0: Noise detected in record 361, parameter 28
Process 0: Noise detected in record 398, parameter 8
Process 1: Noise detected in record 575, parameter 2
Process 0: Noise detected in record 422, parameter 43
Process 1: Noise detected in record 621, parameter 23
Process 0: Noise detected in record 455, parameter 19
Process 0: Noise detected in record 456, parameter 31
Process 0: Noise detected in record 464, parameter 0
Process 1: Noise detected in record 658, parameter 6
Process 0: Noise detected in record 488, parameter 22
Process 1: Noise detected in record 677, parameter 23
Process 0: Noise detected in record 543, parameter 16
Process 1: Noise detected in record 738, parameter 28
Process 1: Noise detected in record 748, parameter 18
Process 0: Noise detected in record 550, parameter 22
Process 0: Noise detected in record 570, parameter 23
Process 0: Noise detected in record 578, parameter 18
Process 1: Noise detected in record 780, parameter 43
Process 1: Noise detected in record 798, parameter 13
Process 0: Noise detected in record 607, parameter 35
Process 1: Noise detected in record 880, parameter 7
Process 1: Noise detected in record 880, parameter 15
Process 1: Noise detected in record 912, parameter 15
Process 0: Noise detected in record 715, parameter 21
Process 1: Noise detected in record 940, parameter 49
Process 0: Noise detected in record 743, parameter 5
Process 1: Noise detected in record 966, parameter 8
Process 1: Cleaning completed
Process 0: Noise detected in record 845, parameter 49
Process 0: Noise detected in record 882, parameter 19
Process 0: Noise detected in record 895, parameter 10
Process 0: Noise detected in record 899, parameter 18
Process 0: Noise detected in record 906, parameter 45
Process 0: Noise detected in record 945, parameter 20
Process 0: Noise detected in record 989, parameter 20
Process 0: Cleaning completed
Total records processed across all processes: 464000
Process 1: Noise detected in record 33, parameter 28
Process 1: Noise detected in record 42, parameter 20
Process 1: Noise detected in record 72, parameter 44
Process 1: Noise detected in record 79, parameter 10
Process 0: Noise detected in record 51, parameter 10
Process 0: Noise detected in record 99, parameter 11
Process 1: Noise detected in record 97, parameter 44
Process 1: Noise detected in record 130, parameter 19
Process 0: Noise detected in record 142, parameter 14
Process 0: Noise detected in record 159, parameter 43
Process 0: Noise detected in record 197, parameter 29
Process 1: Noise detected in record 213, parameter 12
Process 1: Noise detected in record 231, parameter 27
Process 1: Noise detected in record 256, parameter 46
Process 1: Noise detected in record 278, parameter 12
Process 0: Noise detected in record 304, parameter 11
Process 0: Noise detected in record 349, parameter 14
Process 0: Noise detected in record 349, parameter 16
Process 1: Noise detected in record 295, parameter 49
Process 1: Noise detected in record 328, parameter 45
Process 1: Noise detected in record 332, parameter 27
Process 0: Noise detected in record 435, parameter 32
Process 0: Noise detected in record 494, parameter 48
Process 1: Noise detected in record 382, parameter 11
Process 1: Noise detected in record 388, parameter 32
Process 1: Noise detected in record 407, parameter 27
Process 1: Noise detected in record 408, parameter 18
Process 1: Noise detected in record 413, parameter 44
Process 0: Noise detected in record 629, parameter 28
Process 0: Noise detected in record 670, parameter 33
Process 0: Noise detected in record 677, parameter 24
Process 1: Noise detected in record 518, parameter 5
Process 0: Noise detected in record 694, parameter 4
Process 0: Noise detected in record 715, parameter 24
Process 0: Noise detected in record 751, parameter 46
Process 1: Noise detected in record 612, parameter 3
Process 1: Noise detected in record 634, parameter 19
Process 0: Noise detected in record 789, parameter 27
Process 0: Noise detected in record 797, parameter 36
Process 0: Noise detected in record 802, parameter 13
Process 0: Noise detected in record 844, parameter 9
Process 1: Noise detected in record 691, parameter 39
Process 1: Noise detected in record 711, parameter 9
Process 1: Noise detected in record 726, parameter 34
Process 0: Noise detected in record 971, parameter 31
Process 0: Cleaning completed
Process 1: Noise detected in record 773, parameter 9
Process 1: Noise detected in record 826, parameter 8
Process 1: Noise detected in record 858, parameter 9
Process 1: Noise detected in record 868, parameter 23
Process 1: Noise detected in record 882, parameter 42
Total records processed across all processes: 466000
Process 1: Cleaning completed
Process 1: Noise detected in record 14, parameter 16
Process 1: Noise detected in record 16, parameter 42
Process 1: Noise detected in record 127, parameter 37
Process 0: Noise detected in record 8, parameter 2
Process 0: Noise detected in record 30, parameter 18
Process 0: Noise detected in record 35, parameter 14
Process 0: Noise detected in record 68, parameter 25
Process 0: Noise detected in record 122, parameter 31
Process 0: Noise detected in record 169, parameter 0
Process 1: Noise detected in record 257, parameter 49
Process 0: Noise detected in record 215, parameter 11
Process 1: Noise detected in record 261, parameter 26
Process 1: Noise detected in record 281, parameter 49
Process 1: Noise detected in record 300, parameter 13
Process 0: Noise detected in record 250, parameter 0
Process 1: Noise detected in record 342, parameter 2
Process 1: Noise detected in record 367, parameter 20
Process 1: Noise detected in record 377, parameter 5
Process 0: Noise detected in record 345, parameter 38
Process 0: Noise detected in record 378, parameter 37
Process 1: Noise detected in record 446, parameter 12
Process 0: Noise detected in record 414, parameter 2
Process 1: Noise detected in record 526, parameter 24
Process 0: Noise detected in record 462, parameter 24
Process 1: Noise detected in record 550, parameter 31
Process 1: Noise detected in record 562, parameter 5
Process 0: Noise detected in record 495, parameter 28
Process 1: Noise detected in record 603, parameter 48
Process 1: Noise detected in record 610, parameter 5
Process 1: Noise detected in record 665, parameter 37
Process 0: Noise detected in record 583, parameter 35
Process 1: Noise detected in record 753, parameter 3
Process 1: Noise detected in record 775, parameter 45
Process 1: Noise detected in record 784, parameter 8
Process 0: Noise detected in record 697, parameter 41
Process 0: Noise detected in record 698, parameter 7
Process 0: Noise detected in record 700, parameter 11
Process 1: Noise detected in record 813, parameter 2
Process 1: Noise detected in record 849, parameter 0
Process 0: Noise detected in record 750, parameter 42
Process 1: Noise detected in record 856, parameter 39
Process 1: Noise detected in record 861, parameter 15
Process 0: Noise detected in record 787, parameter 40
Process 0: Noise detected in record 806, parameter 22
Process 0: Noise detected in record 826, parameter 27
Process 1: Noise detected in record 981, parameter 3
Process 1: Cleaning completed
Process 0: Noise detected in record 904, parameter 45
Process 0: Noise detected in record 907, parameter 5
Process 0: Cleaning completed
Total records processed across all processes: 468000
Process 0: Noise detected in record 11, parameter 0
Process 0: Noise detected in record 88, parameter 37
Process 1: Noise detected in record 38, parameter 42
Process 0: Noise detected in record 106, parameter 28
Process 0: Noise detected in record 116, parameter 24
Process 0: Noise detected in record 119, parameter 28
Process 0: Noise detected in record 125, parameter 19
Process 1: Noise detected in record 158, parameter 16
Process 0: Noise detected in record 226, parameter 21
Process 0: Noise detected in record 239, parameter 19
Process 0: Noise detected in record 265, parameter 13
Process 0: Noise detected in record 285, parameter 7
Process 0: Noise detected in record 293, parameter 37
Process 0: Noise detected in record 309, parameter 37
Process 0: Noise detected in record 342, parameter 22
Process 1: Noise detected in record 323, parameter 11
Process 0: Noise detected in record 405, parameter 14
Process 0: Noise detected in record 443, parameter 15
Process 1: Noise detected in record 383, parameter 31
Process 0: Noise detected in record 466, parameter 2
Process 0: Noise detected in record 471, parameter 25
Process 0: Noise detected in record 483, parameter 40
Process 1: Noise detected in record 408, parameter 49
Process 0: Noise detected in record 511, parameter 8
Process 1: Noise detected in record 468, parameter 38
Process 0: Noise detected in record 545, parameter 35
Process 0: Noise detected in record 561, parameter 38
Process 1: Noise detected in record 580, parameter 15
Process 1: Noise detected in record 604, parameter 25
Process 0: Noise detected in record 631, parameter 6
Process 0: Noise detected in record 645, parameter 24
Process 0: Noise detected in record 674, parameter 45
Process 1: Noise detected in record 637, parameter 19
Process 0: Noise detected in record 729, parameter 16
Process 0: Noise detected in record 751, parameter 29
Process 1: Noise detected in record 734, parameter 1
Process 1: Noise detected in record 734, parameter 17
Process 1: Noise detected in record 751, parameter 10
Process 0: Noise detected in record 797, parameter 5
Process 0: Noise detected in record 818, parameter 21
Process 0: Noise detected in record 858, parameter 47
Process 0: Noise detected in record 878, parameter 24
Process 1: Noise detected in record 771, parameter 9
Process 0: Noise detected in record 902, parameter 20
Process 1: Noise detected in record 839, parameter 11
Process 0: Noise detected in record 939, parameter 27
Process 0: Noise detected in record 981, parameter 22
Process 0: Cleaning completed
Process 1: Noise detected in record 969, parameter 25
Process 1: Noise detected in record 969, parameter 43
Total records processed across all processes: 470000
Process 1: Noise detected in record 997, parameter 18
Process 1: Cleaning completed
Process 0: Noise detected in record 26, parameter 16
Process 0: Noise detected in record 26, parameter 23
Process 0: Noise detected in record 72, parameter 49
Process 1: Noise detected in record 96, parameter 34
Process 1: Noise detected in record 109, parameter 12
Process 1: Noise detected in record 117, parameter 10
Process 0: Noise detected in record 120, parameter 35
Process 1: Noise detected in record 184, parameter 38
Process 0: Noise detected in record 142, parameter 18
Process 0: Noise detected in record 161, parameter 16
Process 1: Noise detected in record 226, parameter 45
Process 1: Noise detected in record 262, parameter 47
Process 1: Noise detected in record 268, parameter 11
Process 0: Noise detected in record 227, parameter 43
Process 0: Noise detected in record 230, parameter 13
Process 0: Noise detected in record 251, parameter 0
Process 0: Noise detected in record 259, parameter 6
Process 1: Noise detected in record 367, parameter 8
Process 0: Noise detected in record 272, parameter 16
Process 1: Noise detected in record 405, parameter 9
Process 1: Noise detected in record 434, parameter 49
Process 0: Noise detected in record 314, parameter 29
Process 0: Noise detected in record 338, parameter 29
Process 0: Noise detected in record 344, parameter 17
Process 0: Noise detected in record 350, parameter 35
Process 0: Noise detected in record 356, parameter 47
Process 1: Noise detected in record 515, parameter 33
Process 0: Noise detected in record 406, parameter 12
Process 0: Noise detected in record 415, parameter 3
Process 0: Noise detected in record 421, parameter 34
Process 1: Noise detected in record 569, parameter 45
Process 0: Noise detected in record 430, parameter 34
Process 1: Noise detected in record 580, parameter 20
Process 0: Noise detected in record 627, parameter 26
Process 0: Noise detected in record 648, parameter 35
Process 1: Noise detected in record 651, parameter 40
Process 1: Noise detected in record 652, parameter 15
Process 1: Noise detected in record 687, parameter 5
Process 1: Noise detected in record 688, parameter 16
Process 0: Noise detected in record 655, parameter 48
Process 0: Noise detected in record 694, parameter 34
Process 0: Noise detected in record 704, parameter 40
Process 0: Noise detected in record 766, parameter 32
Process 1: Noise detected in record 835, parameter 31
Process 0: Noise detected in record 804, parameter 17
Process 0: Noise detected in record 852, parameter 8
Process 0: Noise detected in record 856, parameter 34
Process 1: Noise detected in record 939, parameter 33
Process 0: Noise detected in record 919, parameter 14
Process 0: Noise detected in record 953, parameter 35
Process 0: Noise detected in record 953, parameter 36
Process 1: Noise detected in record 965, parameter 25
Process 1: Noise detected in record 976, parameter 29
Process 1: Cleaning completed
Process 0: Cleaning completed
Total records processed across all processes: 472000
Process 1: Noise detected in record 74, parameter 15
Process 1: Noise detected in record 79, parameter 30
Process 1: Noise detected in record 152, parameter 43
Process 1: Noise detected in record 171, parameter 10
Process 0: Noise detected in record 38, parameter 10
Process 0: Noise detected in record 80, parameter 3
Process 0: Noise detected in record 83, parameter 47
Process 0: Noise detected in record 146, parameter 49
Process 1: Noise detected in record 191, parameter 12
Process 1: Noise detected in record 208, parameter 26
Process 0: Noise detected in record 204, parameter 39
Process 1: Noise detected in record 215, parameter 39
Process 0: Noise detected in record 268, parameter 39
Process 0: Noise detected in record 305, parameter 16
Process 1: Noise detected in record 298, parameter 15
Process 0: Noise detected in record 333, parameter 12
Process 0: Noise detected in record 341, parameter 29
Process 0: Noise detected in record 353, parameter 38
Process 1: Noise detected in record 362, parameter 34
Process 0: Noise detected in record 362, parameter 1
Process 0: Noise detected in record 369, parameter 1
Process 1: Noise detected in record 483, parameter 19
Process 1: Noise detected in record 499, parameter 14
Process 1: Noise detected in record 506, parameter 44
Process 0: Noise detected in record 512, parameter 10
Process 0: Noise detected in record 522, parameter 38
Process 0: Noise detected in record 530, parameter 43
Process 0: Noise detected in record 537, parameter 11
Process 1: Noise detected in record 612, parameter 32
Process 0: Noise detected in record 591, parameter 48
Process 1: Noise detected in record 770, parameter 30
Process 0: Noise detected in record 699, parameter 11
Process 0: Noise detected in record 699, parameter 45
Process 1: Noise detected in record 800, parameter 13
Process 0: Noise detected in record 802, parameter 16
Process 0: Noise detected in record 813, parameter 41
Process 1: Noise detected in record 841, parameter 32
Process 1: Noise detected in record 870, parameter 45
Process 0: Noise detected in record 887, parameter 9
Process 1: Noise detected in record 879, parameter 30
Process 1: Noise detected in record 883, parameter 27
Process 0: Noise detected in record 927, parameter 46
Process 1: Noise detected in record 913, parameter 23
Process 0: Cleaning completed
Total records processed across all processes: 474000
Process 1: Cleaning completed
Process 0: Noise detected in record 37, parameter 23
Process 0: Noise detected in record 51, parameter 4
Process 1: Noise detected in record 16, parameter 28
Process 0: Noise detected in record 118, parameter 21
Process 1: Noise detected in record 66, parameter 43
Process 1: Noise detected in record 81, parameter 28
Process 0: Noise detected in record 162, parameter 19
Process 1: Noise detected in record 145, parameter 25
Process 1: Noise detected in record 147, parameter 9
Process 1: Noise detected in record 163, parameter 6
Process 1: Noise detected in record 166, parameter 4
Process 0: Noise detected in record 284, parameter 12
Process 1: Noise detected in record 172, parameter 44
Process 1: Noise detected in record 174, parameter 6
Process 1: Noise detected in record 186, parameter 41
Process 1: Noise detected in record 187, parameter 31
Process 1: Noise detected in record 217, parameter 45
Process 1: Noise detected in record 236, parameter 23
Process 0: Noise detected in record 527, parameter 15
Process 0: Noise detected in record 531, parameter 40
Process 0: Noise detected in record 556, parameter 10
Process 0: Noise detected in record 561, parameter 20
Process 1: Noise detected in record 360, parameter 0
Process 1: Noise detected in record 364, parameter 22
Process 0: Noise detected in record 655, parameter 27
Process 1: Noise detected in record 452, parameter 17
Process 1: Noise detected in record 455, parameter 35
Process 0: Noise detected in record 695, parameter 13
Process 0: Noise detected in record 705, parameter 42
Process 0: Noise detected in record 717, parameter 35
Process 1: Noise detected in record 474, parameter 26
Process 0: Noise detected in record 784, parameter 44
Process 1: Noise detected in record 502, parameter 44
Process 0: Noise detected in record 848, parameter 39
Process 0: Noise detected in record 858, parameter 1
Process 0: Noise detected in record 868, parameter 45
Process 0: Noise detected in record 898, parameter 19
Process 0: Noise detected in record 908, parameter 18
Process 1: Noise detected in record 665, parameter 25
Process 0: Noise detected in record 919, parameter 44
Process 0: Noise detected in record 946, parameter 16
Process 0: Noise detected in record 948, parameter 39
Process 1: Noise detected in record 745, parameter 37
Process 1: Noise detected in record 752, parameter 23
Process 0: Cleaning completed
Process 1: Noise detected in record 814, parameter 7
Process 1: Noise detected in record 821, parameter 34
Process 1: Noise detected in record 857, parameter 2
Process 1: Noise detected in record 880, parameter 21
Process 1: Noise detected in record 886, parameter 0
Process 1: Noise detected in record 936, parameter 11
Process 1: Noise detected in record 949, parameter 41
Total records processed across all processes: 476000
Process 1: Cleaning completed
Process 0: Noise detected in record 23, parameter 49
Process 0: Noise detected in record 60, parameter 8
Process 0: Noise detected in record 72, parameter 41
Process 1: Noise detected in record 4, parameter 41
Process 0: Noise detected in record 109, parameter 4
Process 1: Noise detected in record 26, parameter 15
Process 1: Noise detected in record 40, parameter 25
Process 0: Noise detected in record 216, parameter 20
Process 0: Noise detected in record 233, parameter 2
Process 1: Noise detected in record 83, parameter 16
Process 1: Noise detected in record 144, parameter 48
Process 1: Noise detected in record 149, parameter 37
Process 1: Noise detected in record 175, parameter 1
Process 0: Noise detected in record 262, parameter 14
Process 0: Noise detected in record 305, parameter 41
Process 0: Noise detected in record 317, parameter 48
Process 1: Noise detected in record 198, parameter 29
Process 0: Noise detected in record 324, parameter 22
Process 0: Noise detected in record 384, parameter 19
Process 1: Noise detected in record 333, parameter 23
Process 0: Noise detected in record 428, parameter 7
Process 0: Noise detected in record 432, parameter 32
Process 1: Noise detected in record 378, parameter 4
Process 1: Noise detected in record 415, parameter 11
Process 1: Noise detected in record 439, parameter 18
Process 0: Noise detected in record 563, parameter 21
Process 1: Noise detected in record 465, parameter 23
Process 1: Noise detected in record 490, parameter 1
Process 1: Noise detected in record 513, parameter 12
Process 0: Noise detected in record 612, parameter 16
Process 1: Noise detected in record 556, parameter 9
Process 1: Noise detected in record 566, parameter 30
Process 0: Noise detected in record 664, parameter 39
Process 1: Noise detected in record 610, parameter 31
Process 1: Noise detected in record 648, parameter 12
Process 1: Noise detected in record 652, parameter 19
Process 1: Noise detected in record 652, parameter 31
Process 0: Noise detected in record 741, parameter 23
Process 0: Noise detected in record 756, parameter 12
Process 0: Noise detected in record 759, parameter 9
Process 1: Noise detected in record 659, parameter 10
Process 1: Noise detected in record 664, parameter 11
Process 0: Noise detected in record 775, parameter 48
Process 1: Noise detected in record 680, parameter 43
Process 1: Noise detected in record 703, parameter 20
Process 1: Noise detected in record 704, parameter 7
Process 1: Noise detected in record 708, parameter 34
Process 0: Noise detected in record 815, parameter 41
Process 0: Noise detected in record 820, parameter 30
Process 0: Noise detected in record 835, parameter 3
Process 1: Noise detected in record 747, parameter 11
Process 0: Noise detected in record 868, parameter 26
Process 1: Noise detected in record 835, parameter 45
Process 0: Noise detected in record 922, parameter 29
Process 1: Noise detected in record 875, parameter 7
Process 1: Noise detected in record 900, parameter 5
Process 0: Noise detected in record 927, parameter 15
Process 0: Noise detected in record 932, parameter 32
Process 1: Noise detected in record 915, parameter 15
Process 0: Cleaning completed
Process 1: Noise detected in record 935, parameter 30
Process 1: Noise detected in record 951, parameter 17
Process 1: Noise detected in record 968, parameter 10
Process 1: Cleaning completed
Total records processed across all processes: 478000
Process 1: Noise detected in record 122, parameter 41
Process 1: Noise detected in record 142, parameter 18
Process 0: Noise detected in record 59, parameter 14
Process 0: Noise detected in record 139, parameter 10
Process 0: Noise detected in record 159, parameter 18
Process 0: Noise detected in record 196, parameter 7
Process 1: Noise detected in record 294, parameter 36
Process 1: Noise detected in record 302, parameter 16
Process 0: Noise detected in record 293, parameter 41
Process 0: Noise detected in record 342, parameter 42
Process 1: Noise detected in record 354, parameter 1
Process 1: Noise detected in record 371, parameter 9
Process 1: Noise detected in record 391, parameter 7
Process 1: Noise detected in record 406, parameter 47
Process 0: Noise detected in record 416, parameter 4
Process 0: Noise detected in record 419, parameter 17
Process 0: Noise detected in record 423, parameter 6
Process 0: Noise detected in record 463, parameter 48
Process 1: Noise detected in record 423, parameter 32
Process 1: Noise detected in record 492, parameter 12
Process 1: Noise detected in record 539, parameter 22
Process 1: Noise detected in record 548, parameter 43
Process 1: Noise detected in record 564, parameter 9
Process 0: Noise detected in record 561, parameter 21
Process 0: Noise detected in record 583, parameter 5
Process 0: Noise detected in record 631, parameter 34
Process 1: Noise detected in record 634, parameter 34
Process 0: Noise detected in record 684, parameter 3
Process 1: Noise detected in record 682, parameter 37
Process 0: Noise detected in record 727, parameter 1
Process 0: Noise detected in record 733, parameter 19
Process 0: Noise detected in record 775, parameter 37
Process 1: Noise detected in record 721, parameter 0
Process 1: Noise detected in record 739, parameter 31
Process 0: Noise detected in record 883, parameter 25
Process 0: Noise detected in record 895, parameter 14
Process 1: Noise detected in record 770, parameter 35
Process 1: Noise detected in record 780, parameter 12
Process 0: Noise detected in record 989, parameter 37
Process 1: Noise detected in record 826, parameter 47
Process 0: Cleaning completed
Process 1: Noise detected in record 837, parameter 29
Process 1: Noise detected in record 933, parameter 39
Process 1: Noise detected in record 970, parameter 47
Process 1: Noise detected in record 975, parameter 21
Process 1: Noise detected in record 980, parameter 40
Process 1: Cleaning completed
Total records processed across all processes: 480000
Process 1: Noise detected in record 19, parameter 41
Process 1: Noise detected in record 47, parameter 42
Process 1: Noise detected in record 80, parameter 8
Process 1: Noise detected in record 98, parameter 13
Process 1: Noise detected in record 115, parameter 4
Process 0: Noise detected in record 7, parameter 26
Process 0: Noise detected in record 40, parameter 49
Process 0: Noise detected in record 86, parameter 1
Process 1: Noise detected in record 117, parameter 42
Process 1: Noise detected in record 123, parameter 21
Process 0: Noise detected in record 173, parameter 2
Process 0: Noise detected in record 177, parameter 38
Process 0: Noise detected in record 183, parameter 1
Process 0: Noise detected in record 252, parameter 27
Process 1: Noise detected in record 277, parameter 40
Process 1: Noise detected in record 292, parameter 30
Process 0: Noise detected in record 316, parameter 26
